transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 11:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,8,0
4/30/25 11:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,49,7
4/30/25 11:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,542,17
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,44,0
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,22,0
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,20,4
4/30/25 11:00,23 St-Baruch College (6),Manhattan,OMNY - Students,64,2
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,42,0
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,30,1
4/30/25 10:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,34,6
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,26,2
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,15,4
4/30/25 10:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,560,39
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,39,0
4/30/25 10:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,19,0
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,44,3
4/30/25 10:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,4,0
4/30/25 10:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,52,0
4/30/25 10:00,23 St-Baruch College (6),Manhattan,OMNY - Students,34,0
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,13,1
4/30/25 9:00,23 St-Baruch College (6),Manhattan,OMNY - Students,26,0
4/30/25 9:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,39,9
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,37,0
4/30/25 9:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,5,1
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,12,3
4/30/25 9:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,907,61
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,53,7
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,52,0
4/30/25 9:00,23 St-Baruch College (6),Manhattan,OMNY - Other,1,0
4/30/25 9:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,29,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,52,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,36,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,3,0
4/30/25 8:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,58,15
